introgression_tract,overlapping_gene,gene_name,overlapping_bases,gene_length,percent_introgressed,gene_coordinates,gene_info
NW-022145596.1:20433656-20488164,LOC576511,centrosomal protein of 135 kDa,39322,11779,29.95524134072529,NW_022145596.1:20476385-20515707, SPU_018299|SPU_014646|Sp-Cep135|SPU_018300|centrosomal protein 135 Manually curated
NW-022145596.1:20433656-20488164,LOC100891919,gamma-aminobutyric acid receptor subunit alpha-2,33706,28938,85.854150596333,NW_022145596.1:20428888-20462594," SPU_014650|Sp-Gabra1|gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 1|Gabra1 Manually curated"
NW-022145601.1:33873206-33927691,LOC582854,cstf1,13398,489,3.6497984773846843,NW_022145601.1:33860297-33873695,"['cleavage stimulation factor subunit 1', ' LOC582854|Sp-Cstf1|Cleavage stimulation factor subunit 1|SPU_006181|LOC110984558 Manually curated']"
NW-022145611.1:626795-681263,LOC105437706,nesprin-1,120259,7929,6.593269526605078,NW_022145611.1:514465-634724," spectrin repeat containing, nuclear envelope 1 |Sp-Syne1| spectrin repeat containing, nuclear envelope 1-like-2 |Sp-Syne1L_2|SPU_013621|SPU_021163|SPU_007994|SPU_013237 Manually curated"
NW-022145598.1:33431869-33486177,LOC105446516,uncharacterized LOC105446516,115368,54308,47.07371194785382,NW_022145598.1:33428773-33544141, SPU_019975 Manually curated
NW-022145611.1:40324287-40377976,LOC105444507,leucine-rich repeat extensin-like protein 5,642,259,40.34267912772586,NW_022145611.1:40377717-40378359, Manually curated
NW-022145611.1:40324287-40377976,LOC100889823,fibropellin-1-like,55833,48613,87.06857951390754,NW_022145611.1:40317067-40372900, gag-pol polyprotein-like-6; pol polyprotein-like|Sp-Egfi_7|SPU_014376|fibropellin I-7|SPU_026068|Sp-Gagpol7|SPU_014999|gag-pol polyprotein-like-6|pol polyprotein-like Manually curated
NW-022145609.1:6439140-6492826,LOC100890603,uncharacterized LOC100890603,45901,35017,76.28809829851203,NW_022145609.1:6457809-6503710, Sp-Clect/Tm/Duf|SPU_016088|DUF1339|Clect|Tm Manually curated
NW-022145609.1:6439140-6492826,LOC105437983,uncharacterized LOC105437983,31804,14831,46.63249905672242,NW_022145609.1:6422167-6453971, Sp-Fn3f_63|SPU_009658|Sp-Fn3f_7|SPU_022063|SPU_022064 Manually curated
NW-022145595.1:10332736-10386192,LOC591005,ubiquitin-conjugating enzyme E2 D2,5405,5277,97.631822386679,NW_022145595.1:10332608-10338013, SPU_009521 Manually curated
NW-022145595.1:10332736-10386192,LOC115921666,ubiquitin-conjugating enzyme E2 D2,26360,18440,69.95447647951441,NW_022145595.1:10367752-10394112, SPU_009521 Manually curated
NW-022145595.1:10332736-10386192,LOC115918456,proliferating cell nuclear antigen-like,8101,8101,100.0,NW_022145595.1:10349006-10357107, SPU_023334|Sp-Pcna|SPU_017442 Manually curated
NW-022145615.1:10335989-10389380,LOC581877,long-chain-fatty-acid--CoA ligase ACSBG2,44127,991,2.245790559068144,NW_022145615.1:10292853-10336980, Sp-Acsbg1|SPU_004750|acyl-CoA synthetase bubblegum family member 1|LOC110987625 Manually curated
NW-022145615.1:10335989-10389380,LOC591201,det1,4008,2003,49.9750499001996,NW_022145615.1:10387377-10391385,"['DET1 partner of COP1 E3 ubiquitin ligase', ' LOC591201|Sp-Deth1|SPU_002883|SPU_022534|DET1 homolog|LOC110986819 Manually curated']"
NW-022145606.1:48056407-48109346,LOC115927143,cytochrome P450 2D6-like,2229,2229,100.0,NW_022145606.1:48099339-48101568, Manually curated
NW-022145606.1:48056407-48109346,LOC115927761,cytochrome P450 2J6-like,5594,142,2.538434036467644,NW_022145606.1:48050955-48056549, Manually curated
NW-022145606.1:48056407-48109346,LOC115927509,uncharacterized LOC115927509,20523,20523,100.0,NW_022145606.1:48066112-48086635, Manually curated
NW-022145606.1:30088371-30141161,LOC580229,epidermal growth factor receptor kinase substrate 8,74363,1444,1.941825908045668,NW_022145606.1:30015452-30089815, Manually curated
NW-022145596.1:26230786-26283454,LOC591756,"39S ribosomal protein L22, mitochondrial",5364,5364,100.0,NW_022145596.1:26236773-26242137, SPU_007057|Sp-Mrpl22|mitochondrial ribosomal protein L22 Manually curated
NW-022145596.1:26230786-26283454,LOC591782,WD repeat-containing protein 61-like,11925,11925,100.0,NW_022145596.1:26265382-26277307, SPU_007058|Sp-Wdr61|SPU_017607|Sp-Wdr61_1|WD repeat domain 61 Manually curated
NW-022145596.1:26230786-26283454,LOC115918045,"methylmalonic aciduria type A homolog, mitochondrial-like",6599,1867,28.292165479618127,NW_022145596.1:26281587-26288186, SPU_007054|Sp-Mmaa Manually curated
NW-022145596.1:26230786-26283454,LOC115922312,WD40 repeat-containing protein SMU1,19245,19245,100.0,NW_022145596.1:26245040-26264285, SPU_007055|Sp-Smu1L Manually curated
NW-022145607.1:30436264-30488890,LOC583418,N-acetylated-alpha-linked acidic dipeptidase 2-like,24770,372,1.5018167137666532,NW_022145607.1:30411866-30436636, Sp-Naalad1l|SPU_030040|N-acetylated alpha-linked acidic dipeptidase-like 1|Sp-Naalad2L|SPU_026617|N-acetylated alpha-linked acidic dipeptidase 2 Manually curated
NW-022145607.1:10891274-10943811,LOC755020,uncharacterized LOC755020,4833,403,8.338506103869232,NW_022145607.1:10943408-10948241, Manually curated
NW-022145606.1:7076939-7129282,LOC105441691,uncharacterized LOC105441691,1092,1092,100.0,NW_022145606.1:7092632-7093724, Manually curated
NW-022145606.1:7076939-7129282,LOC115927558,shematrin-like protein 2,1523,1523,100.0,NW_022145606.1:7127749-7129272, Manually curated
NW-022145606.1:7076939-7129282,LOC581147,idh1,17134,2079,12.133769114042254,NW_022145606.1:7061884-7079018,"['isocitrate dehydrogenase (NADP(+)) 1', ' LOC581147|Isocitrate dehydrogenase cytoplasmic |IDP| NADP(+)-specific ICDH |Idh|Oxalosuccinate decarboxylase|Sp-Idh1|SPU_000236|isocitrate dehydrogenase [NADP] cytoplasmic|LOC110982381 Manually curated']"
NW-022145600.1:34114754-34167089,LOC100888299,uncharacterized LOC100888299,6201,6201,100.0,NW_022145600.1:34154753-34160954, Sp-Endrvt10|SPU_026939|endonuclease/reverse transcriptase-10|SPU_026938 Manually curated
NW-022145600.1:34114754-34167089,LOC579422,trichohyalin,14272,3295,23.087163677130047,NW_022145600.1:34163794-34178066, Sp-Hypp_908|SPU_018135|hypothetical protein-908|Ellis van Creveld gene homolog|Sp-Hypp_1015|SPU_021145|hypothetical protein-1015|LOC110979945 Manually curated
NW-022145600.1:34114754-34167089,LOC100887998,serine/arginine repetitive matrix protein 2,38161,833,2.1828568433741253,NW_022145600.1:34077426-34115587, Sp-Alms1L|SPU_000501|Alstrom syndrome 1-like|LOC110979943 Manually curated
NW-022145599.1:15216662-15268931,LOC105440477,lazarillo protein-like,4244,3956,93.2139491046183,NW_022145599.1:15216374-15220618, Manually curated
NW-022145599.1:15216662-15268931,LOC115923787,5-hydroxytryptamine receptor 1-like,1997,1997,100.0,NW_022145599.1:15237794-15239791, Manually curated
NW-022145601.1:33661780-33713761,LOC591568,ras-related protein Rab-8A-like,41997,13080,31.14508179155654,NW_022145601.1:33632863-33674860, SPU_028473|SPU_002399 Manually curated
NW-022145597.1:32631447-32683302,LOC115922524,uncharacterized LOC115922524,480,480,100.0,NW_022145597.1:32654422-32654902, Manually curated
NW-022145597.1:32631447-32683302,LOC105439424,lactadherin-like,16956,16956,100.0,NW_022145597.1:32637464-32654420, Sp-Echn9|SPU_019891|echinonectin-9 Manually curated
NW-022145605.1:29791666-29843471,LOC579116,probable G-protein coupled receptor No9,1618,1618,100.0,NW_022145605.1:29810743-29812361, Sp-Hypp_2813|SPU_026022|hypothetical protein-2813|G protein-coupled receptor-like Manually curated
NW-022145605.1:29791666-29843471,LOC115926546,large neutral amino acids transporter small subunit 4-like,1232,1232,100.0,NW_022145605.1:29828772-29830004, Manually curated
NW-022145605.1:29791666-29843471,LOC764263,G-protein coupled receptor moody-like,1434,1434,100.0,NW_022145605.1:29833544-29834978, Sp-Hypp_1393|SPU_002403|hypothetical protein-1393 Manually curated
NW-022145605.1:29791666-29843471,LOC105447130,solute carrier family 43 member 3-like,9620,9620,100.0,NW_022145605.1:29797672-29807292," Sp-Slc43a2L| Sp-Slc43a3 | solute carrier family 43, member 2-like | solute carrier family 43, member 3|SPU_002402|SPU_026021 Manually curated"
NW-022145604.1:33119541-33170782,LOC578984,chondroitin sulfate synthase 2,6667,2649,39.73301334933254,NW_022145604.1:33115523-33122190, N-acetylgalactosaminyltransferase| Chondroitin glucuronyltransferase II |N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II|Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II|Sp-Css2|Chondroitin sulfate synthase 2|SPU_007672|Chondroitin polymerizing factor|LOC110973423 Manually curated
NW-022145604.1:33119541-33170782,LOC578858,enkurin,3457,3457,100.0,NW_022145604.1:33137122-33140579, Manually curated
NW-022145604.1:33119541-33170782,LOC578921,26S proteasome regulatory subunit 8,12527,12527,100.0,NW_022145604.1:33122262-33134789, Manually curated
NW-022145604.1:33119541-33170782,LOC115925930,tripartite motif-containing protein 2-like,2106,2106,100.0,NW_022145604.1:33160379-33162485, Sp-Hypp_738|SPU_014117|hypothetical protein-738|Sp-Hypp_822|SPU_016412|hypothetical protein-822|Sp-Hypp_3118|SPU_000807|hypothetical protein-3118 Manually curated
NW-022145594.1:30080871-30131833,LOC105440264,uncharacterized LOC105440264,60503,49814,82.3331074492174,NW_022145594.1:30070182-30130685, SPU_008029|SPU_028433|Sp-Nlr129 Manually curated
NW-022145606.1:11301563-11352430,LOC100891980,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like,11005,11005,100.0,NW_022145606.1:11311659-11322664," ankyrin2,3/unc44-like-165 |Sp-Unc44_165|SPU_023404 Manually curated"
NW-022145606.1:11301563-11352430,LOC754455,uncharacterized LOC754455,19048,5120,26.879462410751785,NW_022145606.1:11347310-11366358, hypothetical protein-539|Sp-Hypp_539|Sp-Unk_81|SPU_009852|SPU_008225|mitogen-activated protein kinase kinase kinase-like Manually curated
NW-022145612.1:23197118-23247749,LOC115919370,uncharacterized LOC115919370,3962,3962,100.0,NW_022145612.1:23229042-23233004, SPU_027522 Manually curated
NW-022145612.1:23197118-23247749,LOC575879,uncharacterized LOC575879,8565,3656,42.685347343841215,NW_022145612.1:23244093-23252658, Manually curated
NW-022145612.1:23197118-23247749,LOC575674,E3 ubiquitin-protein ligase HUWE1,69980,24378,34.835667333523865,NW_022145612.1:23151516-23221496, Sp-Mcl1|SPU_027523|Mcl-1 ubiquitin ligase|Hect|UBA and WWE domain containing 1 Manually curated
NW-022145601.1:33802217-33852675,LOC593971,5-hydroxytryptamine receptor 1A-alpha-like,1783,1783,100.0,NW_022145601.1:33802338-33804121," cholinergic receptor, muscarinic 3-like-9 |Sp-Chrm3L_9|cholinergic receptor, muscarinic 3-like-1|Sp-Chrm3L_1|SPU_007399|SPU_015632 Manually curated"
NW-022145601.1:33802217-33852675,LOC105442146,NXPE family member 3-like,21077,21077,100.0,NW_022145601.1:33807739-33828816, SPU_015629|Sp-Hypp_514|SPU_007400|hypothetical protein-514 Manually curated
NW-022145603.1:12105826-12156118,LOC105443927,G-protein coupled receptor GRL101-like,22469,22469,100.0,NW_022145603.1:12125550-12148019, Sp-Lrr/Gpcr_6|SPU_008259|SPU_016925|Sp-Rxfp2L_3|SPU_003492|relaxin/insulin-like family peptide receptor 2-like-3 Manually curated
NW-022145603.1:12105826-12156118,LOC580849,rtn4ip1,4291,581,13.539967373572596,NW_022145603.1:12155537-12159828,"['reticulon 4 interacting protein 1', ' LOC580849|Sp-Rtn4ip1_2|NOGO-interacting mitochondrial protein|Reticulon-4-interacting protein 1|Sp-Rtn4ip1|SPU_006198|SPU_028353|reticulon-4-interacting protein 1, mitochondrial|LOC110975410 Manually curated']"
NW-022145604.1:28395947-28446173,LOC753055,neurogenic locus notch homolog protein 2,71838,6871,9.564575851220802,NW_022145604.1:28330980-28402818, Manually curated
NW-022145604.1:28395947-28446173,LOC115926190,fibropellin-1-like,28718,28718,100.0,NW_022145604.1:28408765-28437483, Sp-Notch3|SPU_022786|Notch homolog 3|Sp-Egfi3|SPU_011308|fibropellin I|hyalin-like|egg-binding receptor-like|Notch-like Manually curated
NW-022145604.1:28395947-28446173,LOC105440758,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like",34033,8740,25.680956718479127,NW_022145604.1:28437433-28471466," Sp-Svep1L_11| sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1-like-11|SPU_013293|SPU_024712|SPU_012686 Manually curated"
NW-022145594.1:46306905-46356920,LOC115921165,translation initiation factor IF-2-like,1676,1676,100.0,NW_022145594.1:46324695-46326371, SPU_030265|A1.1 Manually curated
NW-022145594.1:46306905-46356920,LOC100888373,uncharacterized LOC100888373,10237,10237,100.0,NW_022145594.1:46330382-46340619, SPU_007702 Manually curated
NW-022145606.1:48683337-48733068,LOC115927768,uncharacterized LOC115927768,25572,25572,100.0,NW_022145606.1:48686122-48711694, Sp-Nlr44|Sp-Nlr152|SPU_000863|SPU_011776 Manually curated
NW-022145598.1:23010739-23060287,LOC105437134,,3037,3037,100.0,NW_022145598.1:23055894-23058931, Manually curated
NW-022145598.1:23010739-23060287,LOC115918564,,2437,965,39.59786622897005,NW_022145598.1:23059322-23061759, Sp-Hypp_2566|SPU_021596|hypothetical protein-2566 Manually curated
NW-022145613.1:23957737-24007049,LOC115919944,metallothionein-B,2934,2934,100.0,NW_022145613.1:23980317-23983251, Manually curated
NW-022145613.1:23957737-24007049,LOC590101,protein white,22513,525,2.3319859636654376,NW_022145613.1:23935749-23958262, Sp-Abcg11|SPU_020849 Manually curated
NW-022145606.1:45397507-45446807,LOC115927485,cubilin-like,34398,14649,42.586778301064015,NW_022145606.1:45377758-45412156, Manually curated
NW-022145606.1:45397507-45446807,LOC115927749,zinc finger protein 93-like,6116,6116,100.0,NW_022145606.1:45412207-45418323, Manually curated
NW-022145606.1:45397507-45446807,LOC105443485,zinc finger protein 708-like,10387,10387,100.0,NW_022145606.1:45426912-45437299, Manually curated
NW-022145606.1:45397507-45446807,LOC593726,zinc finger protein 708-like,14026,2132,15.200342221588478,NW_022145606.1:45444675-45458701, Manually curated
NW-022145598.1:21189607-21238773,LOC105439392,low-density lipoprotein receptor 2-like,14566,14566,100.0,NW_022145598.1:21220049-21234615, Manually curated
NW-022145607.1:24348459-24397096,LOC105442880,uncharacterized LOC105442880,33390,24052,72.0335429769392,NW_022145607.1:24373044-24406434, Sp-Serrp2|SPU_011843|Sp-Hypp_1086|SPU_023474|hypothetical protein-1086|SPU_026719|Sp-Ndbcp|SPU_002758 Manually curated
NW-022145594.1:41759711-41808298,LOC115921376,pancreatic lipase-related protein 2-like,4523,4523,100.0,NW_022145594.1:41760444-41764967, SPU_026094|Sp-CathepsinL|SPU_028713|Sp-Hypp_291 Manually curated
NW-022145607.1:1842940-1891253,LOC105447047,uncharacterized LOC105447047,36492,36492,100.0,NW_022145607.1:1842973-1879465, Sp-Nlr8|SPU_028681 Manually curated
NW-022145594.1:10170970-10219263,LOC105444571,uncharacterized LOC105444571,1476,485,32.859078590785906,NW_022145594.1:10169979-10171455, SPU_022504|Pp|Sp-RvtL/End/Exn/Pp|RVT-like Manually curated
NW-022145594.1:10170970-10219263,LOC105436499,oncoprotein-induced transcript 3 protein-like,11079,11079,100.0,NW_022145594.1:10177664-10188743, SPU_003565|SPU_022873|Zp_2|Sp-Egf/Zp_2 Manually curated
NW-022145611.1:4210158-4258126,LOC583910,tdp1,46191,689,1.4916325691151957,NW_022145611.1:4164656-4210847,"['tyrosyl-DNA phosphodiesterase 1', ' LOC583910|Sp-Tydp1|Tyrosyl-DNA phosphodiesterase 1|SPU_000486|LOC110988374 Manually curated']"
NW-022145603.1:782819-830723,LOC115925359,uncharacterized LOC115925359,4221,4221,100.0,NW_022145603.1:823033-827254, Manually curated
NW-022145609.1:13259589-13307281,LOC115928661,uncharacterized LOC115928661,3206,3206,100.0,NW_022145609.1:13265732-13268938, Manually curated
NW-022145609.1:13259589-13307281,LOC753793,uncharacterized LOC753793,2555,2555,100.0,NW_022145609.1:13270320-13272875, Manually curated
NW-022145609.1:13259589-13307281,LOC105436449,deleted in malignant brain tumors 1 protein-like,24524,24524,100.0,NW_022145609.1:13280532-13305056, Sp-Srcr94|SPU_010953 Manually curated
NW-022145607.1:21235043-21282525,LOC115928267,uncharacterized LOC115928267,3776,3776,100.0,NW_022145607.1:21241168-21244944, Manually curated
NW-022145607.1:21235043-21282525,LOC115928270,coiled-coil domain-containing protein 60-like,3192,3192,100.0,NW_022145607.1:21278492-21281684, SPU_001002 Manually curated
NW-022145607.1:21235043-21282525,LOC115928269,coiled-coil domain-containing protein 60-like,14552,376,2.583837273227048,NW_022145607.1:21282149-21296701, Sp-Ccdc60L|SPU_019035|coiled-coil domain containing 60-like Manually curated
NW-022145607.1:21235043-21282525,LOC115928268,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like",50970,36757,72.11496958995488,NW_022145607.1:21220830-21271800," Branched-chain alpha-keto acid dehydrogenase E1 component beta chain | BCKDH E1-beta | 2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor |Sp-Bckdhb|SPU_021375|SPU_006625|SPU_008970 Manually curated"
NW-022145598.1:31125063-31172217,LOC105439492,uncharacterized LOC105439492,4495,1855,41.26807563959956,NW_022145598.1:31122423-31126918, Sp-Hypp_890|SPU_017670|hypothetical protein-890|Sp-Clect_26|SPU_012314|Sp-Clect/Tm_14|SPU_014220|Tm|CLECT-like Manually curated
NW-022145598.1:31125063-31172217,LOC115923275,acyl-coenzyme A thioesterase 13-like,1825,1825,100.0,NW_022145598.1:31149291-31151116, Sp-Them2|SPU_017669|thioesterase superfamily member 2 Manually curated
NW-022145599.1:1353448-1400483,LOC105442193,uncharacterized LOC105442193,7308,7308,100.0,NW_022145599.1:1366299-1373607, Sp-Meiob|meiosis specific with OB domains-like|Sp-Hypp_1398|SPU_002495|hypothetical protein-1398|Sp-C16orf73L|SPU_025883|human chromosome 16 open reading frame 73-like|SPU_002496 Manually curated
NW-022145599.1:1353448-1400483,LOC100892008,meiosis-specific with OB domain-containing protein,11082,9909,89.41526800216567,NW_022145599.1:1352275-1363357, Manually curated
NW-022145599.1:1353448-1400483,LOC576003,"tyrosine--tRNA ligase, mitochondrial",13238,9931,75.01888502794985,NW_022145599.1:1390552-1403790, Manually curated
NW-022145605.1:41974098-42020991,LOC105442707,uncharacterized LOC105442707,5386,5386,100.0,NW_022145605.1:41981354-41986740, Manually curated
NW-022145605.1:41974098-42020991,LOC115926528,DNA repair protein XRCC1-like,7296,7296,100.0,NW_022145605.1:41993377-42000673, Sp-Xrcc1L|SPU_001304|X-ray repair complementing defective repair in Chinese hamster cells 1-like Manually curated
NW-022145605.1:41974098-42020991,LOC115926567,chromatin target of PRMT1 protein-like,1704,1704,100.0,NW_022145605.1:42001592-42003296, Manually curated
NW-022145605.1:41974098-42020991,LOC586407,transmembrane emp24 domain-containing protein 2,6562,3130,47.698872295032004,NW_022145605.1:42017861-42024423, Sp-Tmed2|SPU_014313|transmembrane emp24 domain trafficking protein 2|coated vesicle membrane protein Manually curated
NW-022145605.1:41974098-42020991,LOC580739,RNA-binding protein cabeza,25244,13344,52.8600855648867,NW_022145605.1:41962198-41987442, Sp-Ewsr1L|SPU_005676|Ewing sarcoma breakpoint region 1 isoform EWS Manually curated
NW-022145605.1:41974098-42020991,LOC115926884,deoxynucleotidyltransferase terminal-interacting protein 1-like,10710,10710,100.0,NW_022145605.1:42006680-42017390, Manually curated
NW-022145594.1:19351947-19398680,LOC115921269,double-strand break repair protein MRE11-like,14916,14916,100.0,NW_022145594.1:19363113-19378029, SPU_018262|Sp-Mre11_1|SPU_028109|Sp-Mre11 Manually curated
NW-022145609.1:13812682-13858910,LOC115928502,uncharacterized LOC115928502,3314,3314,100.0,NW_022145609.1:13828606-13831920, Sp-Hypp_2903|SPU_027429|hypothetical protein-2903 Manually curated
NW-022145609.1:13812682-13858910,LOC100887916,UDP-N-acetylglucosamine transferase subunit ALG14 homolog,4263,4263,100.0,NW_022145609.1:13851148-13855411, Manually curated
NW-022145609.1:13812682-13858910,LOC584669,AP-1 complex subunit mu-1,12066,8949,74.16708105420189,NW_022145609.1:13809565-13821631, Sp-Ap1m1|SPU_004297|adaptor-related protein complex 1|mu 1 subunit Manually curated
NW-022145609.1:13812682-13858910,LOC752900,TLC domain-containing protein 4-B,10258,10258,100.0,NW_022145609.1:13838628-13848886, SPU_027428 Manually curated
NW-022145607.1:35451866-35498069,LOC115928045,zinc finger protein 501-like,3323,3323,100.0,NW_022145607.1:35465202-35468525, Manually curated
NW-022145607.1:35451866-35498069,LOC105437754,zinc finger protein 525-like,5473,5473,100.0,NW_022145607.1:35474726-35480199, Manually curated
NW-022145607.1:35451866-35498069,LOC115928047,uncharacterized LOC115928047,1817,1817,100.0,NW_022145607.1:35493720-35495537, Manually curated
NW-022145607.1:35451866-35498069,LOC115927960,uncharacterized LOC115928047,4502,4502,100.0,NW_022145607.1:35454019-35458521, Manually curated
NW-022145607.1:35451866-35498069,LOC105442645,zinc finger protein OZF-like,37307,6570,17.6106360736591,NW_022145607.1:35491499-35528806, Manually curated
NW-022145606.1:2993093-3038768,LOC105438725,uncharacterized LOC105438725,1674,1674,100.0,NW_022145606.1:2993925-2995599, Sp-Hypp_2890|SPU_027139|hypothetical protein-2890 Manually curated
NW-022145594.1:43407985-43453605,LOC115921380,uncharacterized LOC115921380,3506,3506,100.0,NW_022145594.1:43419692-43423198, SPU_021026|Sp-Hypp_1009 Manually curated
NW-022145606.1:13433203-13478738,LOC115927786,"indoleamine 2,3-dioxygenase 2-like",4938,4938,100.0,NW_022145606.1:13439434-13444372, Manually curated
NW-022145606.1:13433203-13478738,LOC763223,uncharacterized LOC763223,9673,5927,61.27364829939006,NW_022145606.1:13472811-13482484, Sp-Hypp_288|SPU_028600|hypothetical protein-288 Manually curated
NW-022145606.1:34080437-34125811,LOC579952,dehydrogenase/reductase SDR family member on chromosome X-like,8591,4,0.04656035385868933,NW_022145606.1:34071850-34080441, Sp-Dhrsx_6|SPU_024001|Dhrsxy|Dehydrogenase/reductase SDR family member on chromosome X precursor|Sp-Dhrsx_5|SPU_017768 Manually curated
NW-022145598.1:26676080-26721436,LOC105440581,lysosomal-associated transmembrane protein 4B,8985,618,6.878130217028381,NW_022145598.1:26667713-26676698, Manually curated
NW-022145594.1:36870435-36915259,LOC105443799,uncharacterized LOC105443799,2131,2131,100.0,NW_022145594.1:36878655-36880786, SPU_003434|Sp-Hypp_381|SPU_009121|Sp-Hypp_570|hypothetical protein-570 Manually curated
NW-022145598.1:19355647-19400135,LOC752079,deleted in malignant brain tumors 1 protein,13815,2191,15.859572927976837,NW_022145598.1:19344023-19357838, SPU_000507|Sp-Srcr39|SPU_007349 Manually curated
NW-022145598.1:19355647-19400135,LOC100889431,uncharacterized LOC100889431,12577,12440,98.91071002623836,NW_022145598.1:19387695-19400272, SPU_022795|SPU_027714|Sp-Hypp_2123|SPU_014030|hypothetical protein-2123|Sp-Srcr203|SPU_024390 Manually curated
NW-022145601.1:21005848-21050266,LOC115924566,ATP-dependent translocase ABCB1-like,44381,43622,98.289808701922,NW_022145601.1:21005089-21049470, Manually curated
NW-022145600.1:9116524-9160932,LOC115924326,uncharacterized LOC115924326,2728,2728,100.0,NW_022145600.1:9149348-9152076, Manually curated
NW-022145600.1:9116524-9160932,LOC115924269,uncharacterized LOC115924269,891,891,100.0,NW_022145600.1:9153438-9154329, Manually curated
NW-022145600.1:9116524-9160932,LOC105439162,5-hydroxytryptamine receptor 1A-beta-like,7007,7007,100.0,NW_022145600.1:9125839-9132846, Manually curated
NW-022145606.1:14147224-14191619,LOC105439742,uncharacterized LOC105439742,4270,4270,100.0,NW_022145606.1:14165515-14169785, Manually curated
NW-022145606.1:14147224-14191619,LOC105439089,E3 ubiquitin-protein ligase TRIM33-like,3051,3051,100.0,NW_022145606.1:14181196-14184247, Manually curated
NW-022145606.1:14147224-14191619,LOC115927601,E3 ubiquitin-protein ligase TRIM71-like,4403,687,15.602997955939133,NW_022145606.1:14190932-14195335, Manually curated
NW-022145606.1:14147224-14191619,LOC590619,nuclear pore glycoprotein p62,26518,5913,22.298061693943737,NW_022145606.1:14126619-14153137, Manually curated
NW-022145609.1:5249471-5293831,LOC115928884,tyrosine-protein phosphatase Lar-like,14519,14519,100.0,NW_022145609.1:5259103-5273622, Manually curated
NW-022145609.1:5249471-5293831,LOC105441658,angiopoietin-1 receptor-like,16457,16457,100.0,NW_022145609.1:5273690-5290147, Sp-Tie2L_4|SPU_004830 Manually curated
NW-022145601.1:7075678-7119636,LOC753783,uncharacterized LOC753783,11427,198,1.7327382515095826,NW_022145601.1:7119438-7130865, SPU_019502|LOC110978974 Manually curated
NW-022145601.1:7075678-7119636,LOC100891311,peroxisome biogenesis factor 10,7842,4690,59.806171894924766,NW_022145601.1:7072526-7080368, Manually curated
NW-022145605.1:32969924-33013595,LOC105437854,adhesion G-protein coupled receptor D1-like,13038,8635,66.22948304954748,NW_022145605.1:32965521-32978559, Sp-Lphn2L_1|SPU_009556|latrophilin 2-like-1|SPU_018657 Manually curated
NW-022145605.1:32969924-33013595,LOC115918805,uncharacterized LOC115918805,7269,7269,100.0,NW_022145605.1:33000055-33007324, Manually curated
NW-022145605.1:32969924-33013595,LOC586761,cilia- and flagella-associated protein 58,18501,18501,100.0,NW_022145605.1:32978773-32997274, SPU_023623 Manually curated
NW-022145600.1:18739655-18782988,LOC105443239,cilia- and flagella-associated protein 58,24452,204,0.8342875838377228,NW_022145600.1:18782784-18807236, SPU_023623 Manually curated
NW-022145613.1:10574918-10617957,LOC105446087,uncharacterized LOC105446087,104188,33575,32.22540023803125,NW_022145613.1:10504305-10608493," Sp-Eggbr1L_1|SPU_003635|Sp-Klkb1|SPU_012390|Plasma prekallikrein|Kininogenin|Fletcher factor|plasma kallikrein precursor|Sp-Hypp_1191|SPU_026917|hypothetical protein-1191; membrane frizzled-related protein-like; corin|serine peptidase-like|hypothetical protein-1191|membrane frizzled-related protein-like|corin, serine peptidase-like Manually curated"
NW-022145606.1:9080995-9123906,LOC115927201,uncharacterized LOC115927201,2544,2544,100.0,NW_022145606.1:9117568-9120112, Sp-Hypp_455|SPU_005601|hypothetical protein-455 Manually curated
NW-022145606.1:9080995-9123906,LOC100891374,E3 ubiquitin-protein ligase TRIM50,5576,5576,100.0,NW_022145606.1:9088407-9093983, Sp-TrimL3|tripartite motif-containing family-like|Sp-Hypp_1162|SPU_025970|hypothetical protein-1162|Sp-Hypp_1442|SPU_003306|hypothetical protein-1442|tripartite motif-containing 2 Manually curated
NW-022145602.1:14882332-14925189,LOC583985,protein O-mannosyl-transferase TMTC3-like,35024,1615,4.611123800822294,NW_022145602.1:14848923-14883947, SPU_024134 Manually curated
NW-022145602.1:14882332-14925189,LOC115918728,centrocin 1-like,6268,6268,100.0,NW_022145602.1:14892536-14898804, Manually curated
NW-022145602.1:14882332-14925189,LOC105437543,T-complex protein 11-like protein 1,20320,16809,82.72145669291339,NW_022145602.1:14908380-14928700, t-complex protein 11-like|Sp-Tcp11|SPU_023788|t-complex protein 11 Manually curated
NW-022145606.1:34822916-34865650,LOC105443861,protein NLRC5-like,2686,460,17.125837676842888,NW_022145606.1:34820690-34823376, Sp-Nlr176|SPU_010091|NACHT and LRR containing protein|Sp-Nlr132|SPU_017196 Manually curated
NW-022145606.1:34822916-34865650,LOC115927421,uncharacterized LOC115927421,9313,9313,100.0,NW_022145606.1:34824970-34834283, Manually curated
