"Summary of tests for positive selection at the 6,520 single-copy orthologs. Also included are measures of codon bias (ENC and Nc') and GC content.  ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Official Gene ID,Common_name,Synonyms,Best Genbank Hit,Total No. of Codons,No. of Codons Analyzed,Model M0 dN,Model M0 dS,Model M0 dN/dS,Model M0 kappa,p1M8,Model M0 lnL,Model M7 lnL,Model M8 lnL,M8 vs. M7 LRT Score,Empirical P-value,Empirical Q-value,Empirical Lfdr,Effective No. of Codons (ENC),Novembre's Nc',GC Content,3rd position GC Content,Intron GC Content,Flanking Region GC Content
SPU_017972,Sp-RalA,"Sp-Ral1, Ras like protein A",BC031741,250,199,0.0174,0.438,0.03974,1.28181,0.00528,-1122.59,-1111.99,-1104.24,15.5042,0.000176165,0.0022491,0.00727891,58.33,53.0993,0.484,0.564,0.364238,0.383
SPU_014131,Sp-Notch,none,XP_797451,2462,1995,0.084,0.4681,0.17953,2.14233,0.00626,-13887.2,-13742.4,-13734.7,15.478,0.000176165,0.0022491,0.00727891,54.72,48.7729,0.532,0.585,0.361979,0.3515
SPU_003742,Sp-Alox5,arachidonate 5-lipoxygenase,XP_001102354.1,671,503,0.0514,0.3851,0.13358,2.53021,0.00499,-3171.41,-3162.06,-3154.32,15.4778,0.000176165,0.0022491,0.00727891,55.87,53.8918,0.463,0.477,0.35548,0.381
SPU_017261,Sp-Nbn1,"Neural tissue-specific F-actin binding, Protein phosphatase 1 regulatory subunit 9A",NP_445925,705,620,0.0527,0.493,0.10687,1.90839,0.0069,-4179.17,-4142.18,-4134.44,15.4738,0.000176165,0.0022491,0.00727891,55.76,48.4072,0.476,0.507,0.349563,0.3525
SPU_026204,Sp-Hypp_2827,hypothetical protein-2827,EDO17977.1,322,223,0.2789,0.258,1.08103,2.92375,0.16424,-1866.51,-1866.6,-1858.88,15.4557,0.000176165,0.0022491,0.00727891,60.77,56.4551,0.511,0.557,NULL,0.3575
SPU_019304,Sp-Ccdc146,coiled-coil domain containing 146,EAW77042.1,700,512,0.0143,0.3067,0.04673,1.68446,0.02491,-2685.42,-2668.49,-2660.79,15.3891,0.000176165,0.0022491,0.00727891,55.16,52.2422,0.474,0.538,0.349607,0.383192
SPU_004768,Sp-Hypp_1542,hypothetical protein-1542; G protein-coupled receptor,AAP83427.1,397,298,0.1233,0.2877,0.42871,2.54062,0.05601,-2068.9,-2042.48,-2034.83,15.3052,0.000176165,0.0022491,0.00727891,55.15,46.7456,0.526,0.596,0.328754,0.364103
SPU_016113,Sp-Srr_4,Serine racemase,20139924,257,147,0.1112,0.2199,0.50565,2.41041,0.00695,-983.417,-976.653,-969.001,15.3039,0.000176165,0.0022491,0.00727891,59.13,57.7878,0.47,0.456,0.3703,0.274
SPU_024249,Sp-Chat,Choline Acetyltransferase ,NP_001027621.1,669,555,0.0248,0.29,0.08565,2.03364,0.01965,-3120.82,-3090.68,-3083.04,15.2836,0.000176165,0.0022491,0.00727891,55.89,50.2448,0.502,0.561,0.371279,0.3725
SPU_021353,Sp-Ace_2,Angiotensin-converting enzyme (Dipeptidyl carboxypeptidase I) (Kininase II),73965363,226,141,0.2049,0.3676,0.55744,2.69601,0.02486,-1134.91,-1123.09,-1115.49,15.2111,0.000176165,0.0022491,0.00727891,57.61,52.0184,0.457,0.565,0.360509,0.399
SPU_019707,Sp-Hypp_942,hypothetical protein-942; human chromosome 20 open reading frame 152-like,EDV21470.1,867,505,0.054,0.2268,0.23793,2.1014,0.01616,-2961.02,-2943.23,-2935.67,15.1175,0.000176165,0.0022491,0.00727891,59.04,56.2297,0.48,0.461,0.350282,0.382067
SPU_014837,Sp-Hypp_766,hypothetical protein-766,EDW88084.1,649,439,0.1036,0.3406,0.30424,2.89514,0.05704,-2990.17,-2966.91,-2959.38,15.0644,0.000176165,0.0022491,0.00727891,47.26,48.8262,0.51,0.274,NULL,0.4275
SPU_028061,Sp-Dac,none,NP_694489.1,161,145,0.0515,0.1852,0.27831,1.96282,0.01486,-824.875,-816.735,-809.207,15.057,0.000176165,0.0022491,0.00727891,51.87,49.4508,0.48,0.494,0.339623,0.383
SPU_007245,Sp-B3galt5_2,"Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (b3Gal-T5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5) (Beta-3-Gx-T5)",13123995,418,376,0.1562,0.28,0.55792,2.62957,0.08454,-2762.18,-2743.92,-2736.42,14.9877,0.000176165,0.0022491,0.00727891,56.79,53.1681,0.453,0.483,0.311111,0.351
SPU_024436,Sp-Unc44_253,"ankyrin2,3/unc44-253",none,933,753,0.1027,0.3896,0.26353,2.45681,0.00277,-5279.09,-5246.09,-5238.6,14.9791,0.000176165,0.0022491,0.00727891,59.21,52.4125,0.494,0.551,0.350736,0.382564
SPU_002455,Sp-Loxl2,lysyl oxidase 2 like,NP_002309.1,689,550,0.0738,0.4369,0.16892,1.9661,0.00182,-3747.99,-3710.85,-3703.39,14.9325,0.000176165,0.0022491,0.00727891,59.08,57.1095,0.497,0.447,0.355587,0.342404
SPU_021086,Sp-Cadherin_5,none,none,275,117,0.1249,0.1574,0.79338,1.44075,0.08664,-730.578,-723.086,-715.648,14.8761,0.000176165,0.0022491,0.00727891,48.81,54.233,0.408,0.305,0.358687,0.3285
SPU_003420,Sp-Asp-4,alkaline serine protease (bacterial)-4,EAZ75709.1,341,168,0.2141,0.3746,0.57157,2.14466,0.09298,-1383.68,-1359.26,-1351.83,14.8622,0.000176165,0.0022491,0.00727891,53.8,51.4887,0.506,0.463,0.375791,0.328
SPU_028733,Sp-C20orf103L,human chromosome 20 open reading frame 103-like; lysosomal membrane glycoprotein A-like,AAH50727.1,303,267,0.1515,0.2696,0.56204,2.21118,0.02954,-1912.75,-1897.4,-1889.97,14.855,0.000176165,0.0022491,0.00727891,59.43,57.5878,0.449,0.439,0.32748,0.3885
SPU_025997,Sp-Scn5a,voltage-sensitive sodium channel,1550781,1731,1556,0.057,0.4521,0.12601,2.06603,0.00349,-9979.6,-9889.74,-9882.31,14.8469,0.000176165,0.0022491,0.00727891,52.75,42.9725,0.509,0.66,0.347086,0.352
SPU_013654,Sp-A2mgL,none,none,887,274,0.0769,0.1951,0.39429,3.16803,0.01101,-1661.02,-1647.51,-1640.1,14.8348,0.000176165,0.0022491,0.00727891,58.84,53.8177,0.489,0.47,0.330081,0.4025
SPU_008910,Sp-Glur6_2,glutamate receptor 6,CAA77778.1,801,663,0.015,0.309,0.0484,2.21465,0.00535,-3676.25,-3661.27,-3653.87,14.7922,0.000176165,0.0022491,0.00727891,58.3,52.1173,0.476,0.541,0.358297,0.407
SPU_013489,Sp-C3orf39,glycosyltransferase,NP_116195.2,610,332,0.0866,0.2493,0.34723,3.80129,0.00323,-2151.21,-2140.83,-2133.47,14.7235,0.000176165,0.0022491,0.00727891,54.89,54.8554,0.473,0.496,NULL,0.375897
SPU_000143,Sp-Hypp_296,hypothetical protein-296,none,775,180,0.2646,0.2504,1.05664,2.42244,0.15488,-1448.43,-1443.22,-1435.86,14.7213,0.000176165,0.0022491,0.00727891,49.56,55.2273,0.422,0.302,0.356048,0.3125
SPU_006597,Sp-Hypp_1668,hypothetical protein-1668,NP_001002870.2,595,426,0.176,0.2727,0.64531,1.59471,0.02996,-3107.35,-3092.72,-3085.37,14.7134,0.000176165,0.0022491,0.00727891,58.36,56.5883,0.454,0.478,NULL,0.3585
SPU_013339,Sp-Hypp_2992,hypothetical protein-2992,none,566,337,0.1873,0.1911,0.9801,3.16954,0.03971,-2420.95,-2417.49,-2410.15,14.6872,0.000176165,0.0022491,0.00727891,55.41,53.4181,0.538,0.486,NULL,0.3495
SPU_013966,Sp-Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",54112392,921,741,0.0589,0.2299,0.25606,1.66504,0.05201,-4301.04,-4266.44,-4259.12,14.6324,0.000176165,0.0022491,0.00727891,52.68,53.4887,0.43,0.428,0.332449,0.3325
SPU_009839,Sp-Hypp_1875,hypothetical protein-1875,XP_001340515.2,323,228,0.1835,0.5029,0.36485,1.50416,0.01655,-1893.85,-1872.26,-1864.95,14.6214,0.000176165,0.0022491,0.00727891,57.2,49.7865,0.538,0.524,0.37645,0.3585
SPU_027462,Sp-Plcg,Sp-PLCg,AAR85355.1,557,413,0.024,0.2955,0.08124,1.55123,0.00586,-2288.56,-2264.03,-2256.73,14.5969,0.000176165,0.0022491,0.00727891,55.8,46.323,0.492,0.564,0.352713,0.324181
SPU_002925,Sp-Lrr,none,none,397,306,0.0559,0.312,0.17926,1.96671,0.00651,-1875.55,-1856.4,-1849.1,14.5966,0.000176165,0.0022491,0.00727891,61,56.8339,0.46,0.549,NULL,0.340093
SPU_023638,Sp-Abca3_1,ATP-binding cassette sub-family A member 3 (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (ABC-C transporter) ,7387524,1445,764,0.0605,0.3916,0.15449,1.8178,0.00678,-5005.43,-4963.35,-4956.05,14.5944,0.000176165,0.0022491,0.00727891,52.06,45.3221,0.48,0.536,0.36778,0.317
SPU_012901,Sp-Slc36a1_2,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (Solute carrier family 36 member 1) ,51316800,240,210,0.0923,0.3189,0.28952,3.01668,0.01526,-1410.99,-1395.77,-1388.48,14.5739,0.000176165,0.0022491,0.00727891,53.31,53.154,0.446,0.436,0.3393,0.308
SPU_003656,Sp-Hypp_1467,hypothetical protein-1467,EEA75960.1,303,198,0.08,0.2952,0.27088,1.96314,0.00579,-1305.22,-1296.35,-1289.07,14.5646,0.000176165,0.0022491,0.00727891,55.53,42.8217,0.537,0.571,0.335719,0.322
SPU_000070,Sp-MucL,none,none,1048,739,0.0842,0.3983,0.21134,1.85272,0.02667,-5021.69,-4980.16,-4972.89,14.549,0.000176165,0.0022491,0.00727891,59.37,51.5078,0.511,0.559,0.348586,0.335
SPU_027005,Sp-Hypp_1195,hypothetical protein-1195; coiled-coil domain containing 154-like,EEA78412.1,914,648,0.0399,0.263,0.15169,1.36959,0.00717,-3647.9,-3614.77,-3607.5,14.5339,0.000176165,0.0022491,0.00727891,54.4,57.1204,0.487,0.402,0.340706,0.3015
SPU_017114,Sp-Unc44_123,"ankyrin2,3/unc44-like-123; ankyrin repeat protein-like",none,1212,734,0.0873,0.4602,0.18976,2.13421,0.01292,-5122.81,-5078.76,-5071.49,14.522,0.000176165,0.0022491,0.00727891,56.64,50.5567,0.497,0.564,0.362728,0.3595
SPU_014938,Sp-Gba_1,Glucosylceramidase precursor (Beta-glucocerebrosidase) (Acid beta-glucosidase) (D-glucosyl-N-acylsphingosine glucohydrolase) (Alglucerase) (Imiglucerase),55584151,546,361,0.0771,0.2986,0.25804,2.07667,0.05882,-2305.47,-2273.71,-2266.5,14.4203,0.000176165,0.0022491,0.00727891,55.63,51.3548,0.485,0.535,0.352379,0.386
SPU_000643,Sp-Hypp_3012,hypothetical protein-3012,none,819,323,0.1202,0.2969,0.40468,2.32422,0.04083,-2234.76,-2227.73,-2220.54,14.38,0.000176165,0.0022491,0.00727891,59.76,54.5011,0.468,0.487,NULL,0.3415
SPU_013663,Sp-Htr1fL_3,5-hydroxytryptamine (serotonin) receptor 1F-3,CAA78593.1,394,146,0.1308,0.2864,0.4565,1.9414,0.00681,-1014.04,-1005.72,-998.554,14.326,0.000176165,0.0022491,0.00727891,51.05,42.8283,0.495,0.632,0.313553,0.334359
SPU_021586,Sp-Mpg,DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine DNA glycosidase) (ADPG) (3-alkyladenine DNA glycosylase) (N-methylpurine- DNA glycosirase),Q04841,221,162,0.1157,0.264,0.43832,1.60767,0.00635,-1063.6,-1057.45,-1050.29,14.3236,0.000176165,0.0022491,0.00727891,50.92,50.1175,0.471,0.455,0.329143,0.308
SPU_012655,Sp-Egfi,fibropellin,XP_001178469.1,699,606,0.0735,0.3911,0.1879,2.2385,0.01559,-4007.88,-3965.71,-3958.56,14.3027,0.000176165,0.0022491,0.00727891,48.4,45.5296,0.505,0.484,0.351541,0.3555
SPU_014426,Sp-Hypp_101,hypothetical protein-101,none,1689,1318,0.0755,0.3608,0.20925,1.71138,0.00638,-8593.67,-8530.62,-8523.5,14.2449,0.000176165,0.0022491,0.00727891,57.07,54.9276,0.486,0.515,0.350545,0.347305
SPU_008918,Sp-Megf10L,multiple EGF-like-domains-like-10,XP_424719.2,894,691,0.0485,0.2679,0.18105,2.00535,0.02687,-4122.17,-4096.09,-4088.97,14.2396,0.000176165,0.0022491,0.00727891,57.38,53.2904,0.501,0.467,0.336196,0.3345
SPU_007747,Sp-Grm3,"glutamate receptor, metabotropic 3",AAH41407.1,2309,1443,0.109,0.4931,0.22111,2.8393,0.00089,-10817.8,-10756.7,-10749.7,14.1924,0.000176165,0.0022491,0.00727891,56.88,54.6287,0.493,0.494,0.371155,0.332334
SPU_023101,Sp-Slsp_15,subtilisin-like serine protease (bacterial)-15; serine protease-like,EEJ89811.1,330,214,0.1525,0.343,0.44465,1.54687,0.03654,-1570.24,-1548.07,-1540.98,14.1888,0.000176165,0.0022491,0.00727891,53.98,49.7154,0.516,0.475,0.38337,0.3545
SPU_000703,Sp-Hypp_1280,hypothetical protein-1280; G-protein coupled receptor-like,EAL32411.2,435,314,0.073,0.2599,0.28097,2.02391,0.01616,-1980.58,-1957.63,-1950.56,14.1386,0.000176165,0.0022491,0.00727891,54.92,50.5087,0.498,0.558,NULL,0.334
SPU_009919,Sp-Fkbp4L,FK506 binding protein 4-like,NP_002005.1,346,209,0.1132,0.4626,0.24463,1.53417,0.00593,-1518.7,-1501.76,-1494.7,14.1021,0.000176165,0.0022491,0.00727891,59.65,56.6145,0.487,0.485,NULL,0.363
SPU_001595,Sp-Slc26a5,"solute carrier family 26, member 5, prestin",NP_001072945.1,822,509,0.0767,0.3651,0.21007,2.18034,0.08238,-3416.54,-3368.32,-3361.29,14.0704,0.000176165,0.0022491,0.00727891,55.62,52.8431,0.473,0.496,0.344434,0.365
SPU_022157,Sp-Rab24,RAS-Related Protein RAB-24,NM_001031677,169,139,0.0346,0.2525,0.13716,1.79833,0.04065,-767.848,-753.296,-746.261,14.0694,0.000176165,0.0022491,0.00727891,56.07,57.1312,0.426,0.39,0.334895,0.373
SPU_003587,Sp-Chst3,chondroitin 6-sulfotransferase; carbohydrate (chondroitin 6 / keratin) sulfotransferase 3,NP_058083.1,461,417,0.0848,0.3064,0.2769,1.91248,0.0092,-2719.03,-2705.71,-2698.71,14.0151,0.000264247,0.00292219,0.00727891,60.82,60.3223,0.453,0.439,NULL,0.37
SPU_021109,Sp-Letm1,leucine zipper-EF-hand containing transmembrane protein 1,AAH14500.1,575,354,0.0645,0.2539,0.25417,1.87055,0.02205,-2147.73,-2132.93,-2125.94,13.9753,0.000264247,0.00292219,0.00727891,55.57,52.2637,0.483,0.547,0.354025,0.383721
SPU_010782,Sp-Heatr1,HEAT repeat containing 1,EAW70063.1,1316,726,0.0499,0.3109,0.16057,1.88885,0.0062,-4422.53,-4387.5,-4380.52,13.9701,0.000264247,0.00292219,0.00727891,52.99,48.942,0.496,0.538,0.341924,0.369725
SPU_023399,Sp-Hyr_1,HYR,XP_786785,1451,952,0.1233,0.2918,0.42272,2.61203,0.0071,-6675.34,-6632.74,-6625.77,13.9521,0.000264247,0.00292219,0.00727891,57.57,58.3739,0.481,0.405,0.365831,0.364
SPU_001399,Sp-Cpa1L,carboxypeptidase A1, AAP36807,450,217,0.0694,0.267,0.25976,2.60729,0.03366,-1356.71,-1341.14,-1334.16,13.949,0.000264247,0.00292219,0.00727891,56.93,51.1964,0.512,0.517,0.359185,0.409713
SPU_004368,Sp-PnlipL,pancreatic lipase-like,NP_081201.2,346,212,0.0926,0.336,0.27565,1.81768,0.01074,-1420.35,-1399.21,-1392.26,13.9046,0.000264247,0.00292219,0.00727891,60.16,55.5047,0.5,0.482,0.350636,0.345
SPU_023772,Sp-Mgam_3,maltase-glucoamylase,4758712,210,181,0.1174,0.8936,0.13135,1.30172,0.00575,-1437.58,-1417.32,-1410.37,13.8942,0.000264247,0.00292219,0.00727891,60.14,50.6024,0.476,0.58,0.330083,0.375
SPU_002605,Sp-AchE_5,acetylcholinesterase,AAC59905.1,638,551,0.1109,0.1959,0.56588,2.99317,0.1073,-3594.23,-3577.98,-3571.04,13.883,0.000264247,0.00292219,0.00727891,55.51,52.6062,0.504,0.482,0.376149,0.345128
SPU_014628,Sp-Erf,none,AAH59176,381,266,0.0282,0.4479,0.06299,2.2871,0.01054,-1608.71,-1591.43,-1584.5,13.8644,0.000264247,0.00292219,0.00727891,54.26,46.7731,0.569,0.666,0.366957,0.374872
SPU_019034,Sp-Hypp_925,"hypothetical protein-925; nephrosis 1, congenital, Finnish type (nephrin)-like",CAG00480.1,814,672,0.0952,0.3841,0.24792,2.20466,0.00905,-4687.82,-4643.28,-4636.35,13.8532,0.000264247,0.00292219,0.00727891,58.52,58.46,0.495,0.471,NULL,0.377
SPU_016210,Sp-Hypp_818,hypothetical protein-818; MAM domain containing 4-like,XP_002231545.1,728,397,0.1721,0.5286,0.32553,1.88404,0.02184,-3249.45,-3199.48,-3192.56,13.8355,0.000264247,0.00292219,0.00727891,57.8,58.9793,0.474,0.423,0.381626,0.3735
SPU_001563,Sp-Slc20a1_1,"solute carrier family 20, member 1 (gibbon ape leukemia virus receptor)","7657579, 7288251",212,197,0.0744,0.2851,0.26111,1.51476,0.04606,-1264.74,-1244.13,-1237.23,13.7969,0.000264247,0.00292219,0.00727891,60.38,45.888,0.489,0.54,0.357158,0.3355
SPU_008330,Sp-Hypp_1778,hypothetical protein-1778,none,315,186,0.0878,0.2911,0.30178,2.17221,0.01506,-1212.27,-1205.64,-1198.74,13.7913,0.000264247,0.00292219,0.00727891,56.17,54.663,0.484,0.471,0.372756,0.3705
SPU_007763,Sp-Mucpdn,TRPML,NM018298.9,717,202,0.1598,0.4309,0.37076,1.57159,0.04137,-1576.01,-1557.34,-1550.46,13.748,0.000264247,0.00292219,0.00727891,56.06,48.2141,0.457,0.562,0.349315,0.387712
SPU_017640,Sp-Cpn2L,"carboxypeptidase N, polypeptide 2-like",AAA51921.2,578,540,0.0763,0.3581,0.21311,1.7305,0.02731,-3526.88,-3493.56,-3486.7,13.7196,0.00035233,0.0034364,0.0263961,56.72,59.6834,0.419,0.389,NULL,0.355
SPU_026223,Sp-ReelerL_6,none,none,155,119,0.1712,0.4162,0.41145,2.24051,0.02835,-946.177,-927.197,-920.341,13.7134,0.00035233,0.0034364,0.0263961,53.84,38.5483,0.553,0.638,0.345432,0.361538
SPU_004320,Sp-Itfg1l,integrin alpha FG-GAP repeat containing 1; T-cell immunomodulatory protein; protein TIP,NP_110417.2,607,482,0.0989,0.2527,0.39125,2.06207,0.10008,-3122.6,-3090.99,-3084.14,13.6998,0.00035233,0.0034364,0.0263961,55.69,53.0103,0.451,0.44,0.328392,0.3615
SPU_019531,Sp-Ccdc63_1,coiled-coil domain containing 63-1,NP_899130.1,562,482,0.1685,0.3634,0.46381,2.19715,0.01672,-3750.3,-3722.58,-3715.74,13.6883,0.00035233,0.0034364,0.0263961,58.38,51.0544,0.496,0.565,0.35377,0.369
SPU_016650,Sp-Par1,none,NP_571047.1,336,116,0.0268,0.5151,0.05203,3.04769,0.00863,-715.334,-708.859,-702.015,13.688,0.00035233,0.0034364,0.0263961,58.89,51.9345,0.496,0.54,0.368105,0.423
SPU_000441,Sp-Igcam/Igcam,none,NP_725507,1124,759,0.1353,0.4159,0.32538,2.6158,0.03275,-5662.76,-5628.5,-5621.66,13.6804,0.00035233,0.0034364,0.0263961,57.16,57.9331,0.459,0.409,0.352533,0.3245
SPU_028023,Sp-Hypp_2928,hypothetical protein-2928,XP_002220772.1,489,219,0.0756,0.493,0.1533,1.56718,0.01889,-1509.55,-1501.43,-1494.6,13.6558,0.00035233,0.0034364,0.0263961,57.01,50.4782,0.517,0.54,0.346769,0.3785
SPU_003752,Sp-Lrp4L_2,low density lipoprotein receptor-related protein 4-like-2,XP_421114.2,683,479,0.0352,0.2513,0.1402,2.01685,0.01262,-2730.35,-2713.92,-2707.09,13.6544,0.00035233,0.0034364,0.0263961,53.48,49.9786,0.494,0.488,0.349571,0.4007
SPU_000252,Sp-Med1,mediator complex subunit 1,XP_537654.2,2421,2137,0.0511,0.249,0.205,3.15117,0.02002,-12623.3,-12593.3,-12586.5,13.644,0.00035233,0.0034364,0.0263961,53.31,55.7286,0.461,0.374,0.348494,0.329
SPU_018808,Sp-Atad4,ATPase family AAA domain-containing protein 4,ACB83631.1,431,339,0.1163,0.247,0.47086,2.78117,0.05945,-2287.98,-2268.84,-2262.02,13.6415,0.00035233,0.0034364,0.0263961,51.52,52.2584,0.483,0.482,0.375263,0.344897
SPU_019735,Sp-C6st,chondroitin 6-O-sulfotransferase,AF079875,536,478,0.1468,0.3394,0.43241,2.46631,0.00923,-3582.35,-3562.02,-3555.2,13.6357,0.00035233,0.0034364,0.0263961,59.57,55.9405,0.478,0.526,0.378205,0.3525
SPU_016449,Sp-Hnf6,onecut2,none,190,145,0.0598,0.224,0.26684,4.83318,0.01497,-844.845,-837.807,-831.006,13.6026,0.00035233,0.0034364,0.0263961,59.23,54.9536,0.507,0.522,0.421424,0.3795
SPU_018934,Sp-Nvll,Nuclear valosin-containing protein,AAH12105 ,1008,577,0.0414,0.3822,0.10821,1.5817,0.00176,-3547.87,-3531.8,-3525.01,13.5892,0.00035233,0.0034364,0.0263961,53.6,54.0591,0.476,0.428,0.33371,0.305
SPU_003052,Sp-Smicl_1,Smad interacting and CPSF like,NP_055932,859,496,0.1757,0.258,0.68106,2.78936,0.05755,-3680.03,-3668.61,-3661.82,13.5779,0.00035233,0.0034364,0.0263961,55.59,56.969,0.457,0.424,0.348047,0.3505
SPU_008994,Sp-Fap133L,"FAP133, Flagellar Associated Protein Similar to Dynein Intermediate Chains",none,500,259,0.0307,0.3995,0.07678,1.72098,0.00403,-1560.55,-1547.4,-1540.61,13.5776,0.00035233,0.0034364,0.0263961,54.12,53.1989,0.473,0.431,0.356244,0.347368
SPU_003409,Sp-C19orf45L,human chromosome 19 open reading frame 45-like,BAC04057.1,492,381,0.0691,0.2766,0.24987,2.00688,0.01334,-2377.77,-2357.83,-2351.05,13.5476,0.00035233,0.0034364,0.0263961,56.15,50.2215,0.516,0.555,0.332465,0.338
SPU_003660,Sp-Dnah5_1,"dynein, axonemal, heavy polypeptide 5 - part II",NP_001360  ,2345,1903,0.0263,0.3954,0.0666,1.46803,0.05802,-11106.4,-11018.6,-11011.8,13.5312,0.00035233,0.0034364,0.0263961,47.67,44.1695,0.491,0.55,0.356026,0.325
SPU_006261,Sp-Aprt,Adenine phosphoribosyltransferase (APRT),543829,183,166,0.0968,0.2694,0.35929,4.82736,0.02647,-1089.18,-1078.41,-1071.64,13.5273,0.00035233,0.0034364,0.0263961,61,56.5841,0.463,0.452,0.38331,0.37234
SPU_016472,Sp-Hypp_3051,hypothetical protein-3051,none,1611,1067,0.0926,0.3359,0.27558,2.04597,0.02236,-7139.86,-7104.55,-7097.8,13.5145,0.00035233,0.0034364,0.0263961,54.16,55.6595,0.481,0.416,0.331754,0.3545
SPU_014361,Sp-Prpf4,PRP4 pre-mRNA processing factor 4,NP_004688,502,367,0.0133,0.2442,0.05455,1.81215,0.01954,-1926.87,-1914.74,-1907.98,13.5097,0.00035233,0.0034364,0.0263961,51.73,51.3963,0.491,0.46,0.35488,0.365641
SPU_027504,Sp-Hypp_2907,hypothetical protein-2907,EEN59817.1,312,179,0.144,0.2026,0.71065,2.21615,0.04126,-1204.91,-1198.39,-1191.66,13.4619,0.00035233,0.0034364,0.0263961,58.15,54.794,0.489,0.502,0.301797,0.3735
SPU_024953,Sp-Z34,none,BAD92838,397,270,0.0523,0.5853,0.08944,2.248,0.00852,-1773.46,-1763.55,-1756.83,13.4524,0.00035233,0.0034364,0.0263961,51.47,45.343,0.515,0.651,0.341262,0.377
SPU_002169,Sp-Sstr5,somatostatin receptor 5,BAA04107.1,390,372,0.0757,0.4995,0.15162,1.80801,0.01115,-2625.91,-2594.03,-2587.33,13.4151,0.00035233,0.0034364,0.0263961,55.04,48.6867,0.474,0.566,NULL,0.354
SPU_011426,Sp-ExonepL,exonuclease NEF-sp-like,NP_112203.2,787,469,0.0795,0.2431,0.32716,2.33233,0.00267,-2891.43,-2872.86,-2866.16,13.4003,0.00035233,0.0034364,0.0263961,56.94,55.0337,0.451,0.453,0.350436,0.354872
SPU_010789,Sp-Nbeal1,neurobeachin-like 1,NP_775620.2,2825,985,0.0382,0.4879,0.0783,2.02789,0.00103,-6335.84,-6296.26,-6289.57,13.3848,0.00035233,0.0034364,0.0263961,54.34,47.6767,0.499,0.563,0.348125,0.34
SPU_021034,Sp-Ccdc37,coiled-coil domain containing 37,BAC05035.1,594,512,0.0368,0.3196,0.11529,1.54464,0.01302,-2951.05,-2919,-2912.31,13.381,0.00035233,0.0034364,0.0263961,53.46,49.2529,0.469,0.508,0.340797,0.364
SPU_022164,Sp-Mast2,microtubule-associated serine/threonine kinase 1,XP_794804.1,1163,836,0.0174,0.292,0.05975,2.36443,0.00122,-4722.13,-4709.2,-4702.53,13.328,0.00035233,0.0034364,0.0263961,54.55,48.4061,0.522,0.542,0.344053,0.333
SPU_016831,Sp-Shmt2,"Serine hydroxymethyltransferase, mitochondrial precursor (Serine methylase) (Glycine hydroxymethyltransferase) (SHMT)",6226865,329,283,0.1029,0.2749,0.37418,2.27441,0.14452,-1909.02,-1884.89,-1878.23,13.3245,0.00035233,0.0034364,0.0263961,50.58,47.2321,0.51,0.516,0.377383,0.341
SPU_020547,Sp-Adam15L3,none,AF006196,443,283,0.038,0.252,0.15089,1.91194,0.00354,-1601.78,-1597.94,-1591.3,13.2713,0.00035233,0.0034364,0.0263961,55.29,51.7016,0.515,0.456,0.354581,0.354
SPU_005691,Sp-Pdia3,Protein disulfide-isomerase A3 precursor (Disulfide isomerase ER-60) (ERp60) (58 kDa microsomal protein) (p58) (ERp57) (58 kDa glucose regulated protein),2507461,473,282,0.0825,0.3373,0.24458,1.9471,0.04608,-1834.22,-1811.34,-1804.71,13.2652,0.00035233,0.0034364,0.0263961,55.03,52.2177,0.463,0.47,0.34799,0.3875
SPU_008762,Sp-Hypp_36,hypothetical protein-36; glycosyl hydrolase family 81 protein-like,none,1003,799,0.0699,0.252,0.27733,1.95876,0.02759,-4933.46,-4894.62,-4887.99,13.2579,0.00035233,0.0034364,0.0263961,57.05,52.3226,0.5,0.497,0.351076,0.410256
SPU_021015,Sp-Mtnr1aL_2,melatonin receptor 1A-like-2,AAB17720.1,357,292,0.0791,0.3694,0.21426,2.01078,0.0245,-1977.86,-1961.05,-1954.43,13.241,0.00035233,0.0034364,0.0263961,56.59,51.5739,0.489,0.576,NULL,0.3795
SPU_011672,Sp-Adra1bL_1,"adrenergic receptor, alpha 1b-like-1",AAH70920.1,479,384,0.1675,0.3347,0.5003,2.43931,0.05921,-2949.19,-2923.95,-2917.33,13.2394,0.00035233,0.0034364,0.0263961,56.18,53.3622,0.501,0.548,0.355463,0.3535
SPU_017789,Sp-Adra1bL_10,"adrenergic receptor, alpha 1b-like-10",NP_031442.2,479,384,0.1675,0.3347,0.5003,2.43931,0.05921,-2949.19,-2923.95,-2917.33,13.2394,0.00035233,0.0034364,0.0263961,56.18,53.3622,0.501,0.548,0.355463,0.3535
